        Time(us)        Latency         Task_done
0       8927            77              1
1       9702            20              2
2       9716            14              3
3       9729            12              4
4       9739            10              5
5       9749            10              6
6       9758            9               7
7       9768            10              8
8       9777            9               9
9       9787            9               10
10      9796            9               11
11      9806            9               12
12      9816            10              13
13      9825            9               14
14      9835            10              15
15      9844            9               16
16      9854            10              17
17      9863            9               18
18      9873            9               19
